API_UWI,WellID,StationNumber,CoordinateSource,MeasuredDepth_FT,Inclination_DEG,Azimuth_DEG,Course_FT,TVD_FT,VerticalSection_FT,N_S,E_W,Closure_FT,DogLegSeverity_DEGPer100FT,Latitude,Longitude,GridY_FT,GridX_FT,SubseaElevation_FT
30-025-47452-00,840300005442485,37,ACTUAL,3653.0,6.30,73.04,0,3639,,31.84,228.57,,0.63,32.02059,-103.31655,11627153.63,2162026.92,-669
30-025-47452-00,840300005442485,38,ACTUAL,3748.0,6.30,75.54,0,3733,,34.66,238.60,,0.29,32.02060,-103.31651,11627156.60,2162036.91,-764
30-025-47452-00,840300005442485,39,ACTUAL,3842.0,6.30,73.54,0,3827,,37.41,248.54,,0.23,32.02060,-103.31648,11627159.51,2162046.80,-857
30-025-47452-00,840300005442485,40,ACTUAL,3937.0,6.40,71.34,0,3921,,40.58,258.55,,0.28,32.02061,-103.31645,11627162.84,2162056.77,-952
30-025-47452-00,840300005442485,41,ACTUAL,4030.0,6.50,72.04,0,4014,,43.86,268.47,,0.14,32.02062,-103.31642,11627166.27,2162066.64,-1044
30-025-47452-00,840300005442485,42,ACTUAL,4125.0,6.20,70.24,0,4108,,47.25,278.42,,0.38,32.02063,-103.31639,11627169.82,2162076.52,-1139
30-025-47452-00,840300005442485,43,ACTUAL,4219.0,6.40,70.24,0,4202,,50.74,288.12,,0.21,32.02064,-103.31635,11627173.46,2162086.18,-1232
30-025-47452-00,840300005442485,44,ACTUAL,4314.0,6.40,69.74,0,4296,,54.36,298.07,,0.06,32.02065,-103.31632,11627177.23,2162096.07,-1326
30-025-47452-00,840300005442485,45,ACTUAL,4408.0,6.40,69.24,0,4389,,58.03,307.89,,0.06,32.02066,-103.31629,11627181.06,2162105.83,-1420
30-025-47452-00,840300005442485,46,ACTUAL,4504.0,6.20,69.54,0,4485,,61.74,317.75,,0.21,32.02067,-103.31626,11627184.92,2162115.63,-1515
30-025-47452-00,840300005442485,47,ACTUAL,4599.0,6.10,68.24,0,4579,,65.41,327.24,,0.18,32.02068,-103.31623,11627188.73,2162125.07,-1610
30-025-47452-00,840300005442485,48,ACTUAL,4693.0,6.20,64.84,0,4673,,69.42,336.47,,0.40,32.02069,-103.31620,11627192.89,2162134.24,-1703
30-025-47452-00,840300005442485,49,ACTUAL,4787.0,6.20,63.44,0,4766,,73.85,345.61,,0.16,32.02070,-103.31617,11627197.46,2162143.30,-1797
30-025-47452-00,840300005442485,50,ACTUAL,4882.0,6.20,62.44,0,4861,,78.51,354.75,,0.11,32.02072,-103.31614,11627202.27,2162152.37,-1891
30-025-47452-00,840300005442485,51,ACTUAL,4976.0,6.30,62.14,0,4954,,83.27,363.80,,0.11,32.02073,-103.31611,11627207.17,2162161.35,-1984
30-025-47452-00,840300005442485,52,ACTUAL,5070.0,6.10,63.44,0,5048,,87.92,372.83,,0.26,32.02074,-103.31608,11627211.95,2162170.31,-2078
30-025-47452-00,840300005442485,53,ACTUAL,5164.0,6.20,67.04,0,5141,,92.13,381.97,,0.42,32.02075,-103.31605,11627216.31,2162179.39,-2171
30-025-47452-00,840300005442485,54,ACTUAL,5259.0,6.20,71.54,0,5235,,95.75,391.56,,0.51,32.02076,-103.31602,11627220.08,2162188.92,-2266
30-025-47452-00,840300005442485,55,ACTUAL,5353.0,6.30,75.94,0,5329,,98.62,401.38,,0.52,32.02077,-103.31599,11627223.09,2162198.69,-2359
30-025-47452-00,840300005442485,56,ACTUAL,5447.0,6.20,76.64,0,5422,,101.04,411.32,,0.13,32.02078,-103.31596,11627225.68,2162208.60,-2453
30-025-47452-00,840300005442485,57,ACTUAL,5541.0,6.20,74.34,0,5516,,103.58,421.15,,0.26,32.02078,-103.31592,11627228.37,2162218.39,-2546
30-025-47452-00,840300005442485,58,ACTUAL,5635.0,6.20,74.04,0,5609,,106.35,430.92,,0.03,32.02079,-103.31589,11627231.29,2162228.11,-2640
30-025-47452-00,840300005442485,59,ACTUAL,5730.0,6.20,73.94,0,5704,,109.18,440.78,,0.01,32.02080,-103.31586,11627234.27,2162237.93,-2734
30-025-47452-00,840300005442485,60,ACTUAL,5824.0,6.10,72.64,0,5797,,112.07,450.42,,0.18,32.02081,-103.31583,11627237.32,2162247.53,-2828
30-025-47452-00,840300005442485,61,ACTUAL,5918.0,6.10,70.84,0,5891,,115.20,459.91,,0.20,32.02082,-103.31580,11627240.60,2162256.97,-2921
30-025-47452-00,840300005442485,62,ACTUAL,6013.0,4.90,67.74,0,5985,,118.40,468.43,,1.30,32.02083,-103.31577,11627243.92,2162265.44,-3016
30-025-47452-00,840300005442485,63,ACTUAL,6107.0,3.00,60.74,0,6079,,121.12,474.29,,2.08,32.02083,-103.31575,11627246.74,2162271.26,-3109
30-025-47452-00,840300005442485,64,ACTUAL,6201.0,1.50,45.44,0,6173,,123.19,477.31,,1.71,32.02084,-103.31574,11627248.85,2162274.26,-3203
30-025-47452-00,840300005442485,65,ACTUAL,6295.0,0.80,21.54,0,6267,,124.66,478.43,,0.89,32.02084,-103.31574,11627250.34,2162275.35,-3297
30-025-47452-00,840300005442485,66,ACTUAL,6389.0,2.70,16.44,0,6361,,127.40,479.30,,2.03,32.02085,-103.31574,11627253.09,2162276.18,-3391
30-025-47452-00,840300005442485,67,ACTUAL,6484.0,4.70,12.94,0,6456,,133.34,480.80,,2.12,32.02087,-103.31573,11627259.06,2162277.60,-3486
30-025-47452-00,840300005442485,68,ACTUAL,6578.0,4.50,8.84,0,6549,,140.73,482.23,,0.41,32.02089,-103.31573,11627266.48,2162278.91,-3580
30-025-47452-00,840300005442485,69,ACTUAL,6672.0,4.40,9.14,0,6643,,147.94,483.37,,0.11,32.02091,-103.31572,11627273.70,2162279.94,-3673
30-025-47452-00,840300005442485,70,ACTUAL,6766.0,4.30,7.84,0,6737,,154.99,484.43,,0.15,32.02093,-103.31572,11627280.77,2162280.89,-3767
30-025-47452-00,840300005442485,71,ACTUAL,6860.0,4.40,7.94,0,6830,,162.05,485.41,,0.11,32.02095,-103.31572,11627287.84,2162281.76,-3861
30-025-47452-00,840300005442485,72,ACTUAL,6955.0,4.20,7.04,0,6925,,169.11,486.33,,0.22,32.02097,-103.31571,11627294.92,2162282.58,-3956
30-025-47452-00,840300005442485,73,ACTUAL,7049.0,4.20,7.14,0,7019,,175.94,487.18,,0.01,32.02098,-103.31571,11627301.77,2162283.32,-4049
30-025-47452-00,840300005442485,74,ACTUAL,7143.0,4.10,6.94,0,7113,,182.69,488.02,,0.11,32.02100,-103.31571,11627308.53,2162284.06,-4143
30-025-47452-00,840300005442485,75,ACTUAL,7237.0,4.20,6.64,0,7206,,189.45,488.82,,0.11,32.02102,-103.31571,11627315.30,2162284.76,-4237
30-025-47452-00,840300005442485,76,ACTUAL,7332.0,4.20,6.64,0,7301,,196.36,489.63,,0,32.02104,-103.31570,11627322.22,2162285.45,-4332
30-025-47452-00,840300005442485,77,ACTUAL,7426.0,4.20,5.94,0,7395,,203.20,490.38,,0.05,32.02106,-103.31570,11627329.08,2162286.10,-4425
30-025-47452-00,840300005442485,78,ACTUAL,7520.0,4.30,8.14,0,7489,,210.12,491.24,,0.20,32.02108,-103.31570,11627336.01,2162286.85,-4519
30-025-47452-00,840300005442485,79,ACTUAL,7615.0,4.10,7.04,0,7583,,217.01,492.16,,0.23,32.02110,-103.31570,11627342.92,2162287.67,-4614
30-025-47452-00,840300005442485,80,ACTUAL,7709.0,1.60,352.84,0,7677,,221.65,492.40,,2.74,32.02111,-103.31569,11627347.56,2162287.85,-4708
30-025-47452-00,840300005442485,81,ACTUAL,7803.0,0.10,358.74,0,7771,,223.03,492.24,,1.60,32.02111,-103.31569,11627348.94,2162287.66,-4802
30-025-47452-00,840300005442485,82,ACTUAL,8085.0,1.70,160.84,0,8053,,219.33,493.61,,0.64,32.02110,-103.31569,11627345.26,2162289.09,-5084
30-025-47452-00,840300005442485,83,ACTUAL,8179.0,2.20,209.74,0,8147,,216.44,493.17,,1.78,32.02110,-103.31569,11627342.37,2162288.70,-5178
30-025-47452-00,840300005442485,84,ACTUAL,8273.0,2.50,252.24,0,8241,,214.25,490.32,,1.84,32.02109,-103.31570,11627340.14,2162285.89,-5272
30-025-47452-00,840300005442485,85,ACTUAL,8367.0,2.50,295.64,0,8335,,214.51,486.52,,1.97,32.02109,-103.31571,11627340.34,2162282.09,-5365
30-025-47452-00,840300005442485,86,ACTUAL,8462.0,2.50,334.84,0,8430,,217.29,483.77,,1.77,32.02110,-103.31572,11627343.07,2162279.30,-5460
30-025-47452-00,840300005442485,87,ACTUAL,8556.0,2.30,23.14,0,8524,,220.88,483.64,,2.10,32.02111,-103.31572,11627346.66,2162279.12,-5554
30-025-47452-00,840300005442485,88,ACTUAL,8638.0,2.10,68.04,0,8606,,222.95,485.68,,2.06,32.02111,-103.31572,11627348.77,2162281.13,-5636
30-025-47452-00,840300005442485,89,ACTUAL,8732.0,2.20,107.34,0,8700,,223.06,489.00,,1.54,32.02111,-103.31571,11627348.93,2162284.45,-5730
30-025-47452-00,840300005442485,90,ACTUAL,8827.0,2.70,116.84,0,8795,,221.50,492.74,,0.68,32.02111,-103.31569,11627347.43,2162288.21,-5825
30-025-47452-00,840300005442485,91,ACTUAL,8921.0,3.10,123.24,0,8889,,219.11,496.84,,0.55,32.02110,-103.31568,11627345.10,2162292.35,-5919
30-025-47452-00,840300005442485,92,ACTUAL,9015.0,3.10,109.44,0,8982,,216.87,501.36,,0.79,32.02110,-103.31567,11627342.94,2162296.91,-6013
30-025-47452-00,840300005442485,93,ACTUAL,9110.0,2.70,93.04,0,9077,,215.90,506.02,,0.97,32.02109,-103.31565,11627342.04,2162301.59,-6108
30-025-47452-00,840300005442485,94,ACTUAL,9204.0,3.10,79.04,0,9171,,216.26,510.73,,0.86,32.02109,-103.31564,11627342.48,2162306.29,-6202
30-025-47452-00,840300005442485,95,ACTUAL,9275.0,3.80,76.94,0,9242,,217.16,514.90,,1.00,32.02110,-103.31562,11627343.44,2162310.45,-6272
30-025-47452-00,840300005442485,96,ACTUAL,9401.0,4.40,72.44,0,9368,,219.56,523.58,,0.54,32.02110,-103.31559,11627345.98,2162319.10,-6398
30-025-47452-00,840300005442485,97,ACTUAL,9496.0,3.30,110.54,0,9463,,219.70,529.61,,2.86,32.02110,-103.31557,11627346.21,2162325.13,-6493
30-025-47452-00,840300005442485,98,ACTUAL,9590.0,3.20,139.94,0,9556,,216.75,533.84,,1.76,32.02110,-103.31556,11627343.32,2162329.40,-6587
30-025-47452-00,840300005442485,99,ACTUAL,9685.0,3.10,157.34,0,9651,,212.35,536.53,,1.01,32.02108,-103.31555,11627338.97,2162332.17,-6682
30-025-47452-00,840300005442485,100,ACTUAL,9779.0,3.10,157.04,0,9745,,207.66,538.50,,0.02,32.02107,-103.31555,11627334.31,2162334.22,-6776
30-025-47452-00,840300005442485,101,ACTUAL,9874.0,2.90,167.04,0,9840,,202.95,540.04,,0.59,32.02106,-103.31554,11627329.63,2162335.83,-6870
30-025-47452-00,840300005442485,102,ACTUAL,9968.0,2.90,174.14,0,9934,,198.27,540.82,,0.38,32.02105,-103.31554,11627324.96,2162336.69,-6964
30-025-47452-00,840300005442485,103,ACTUAL,10063.0,2.90,174.54,0,10029,,193.49,541.29,,0.02,32.02103,-103.31554,11627320.18,2162337.24,-7059
30-025-47452-00,840300005442485,104,ACTUAL,10158.0,1.60,176.94,0,10124,,189.77,541.59,,1.37,32.02102,-103.31554,11627316.47,2162337.60,-7154
30-025-47452-00,840300005442485,105,ACTUAL,10253.0,1.60,176.74,0,10219,,187.12,541.74,,0.01,32.02101,-103.31553,11627313.82,2162337.79,-7249
30-025-47452-00,840300005442485,106,ACTUAL,10348.0,1.20,186.84,0,10314,,184.81,541.70,,0.49,32.02101,-103.31554,11627311.51,2162337.78,-7344
30-025-47452-00,840300005442485,107,ACTUAL,10442.0,1.40,186.84,0,10408,,182.69,541.44,,0.21,32.02100,-103.31554,11627309.39,2162337.56,-7438
30-025-47452-00,840300005442485,108,ACTUAL,10537.0,1.20,197.54,0,10503,,180.59,541.01,,0.33,32.02100,-103.31554,11627307.29,2162337.16,-7533
30-025-47452-00,840300005442485,109,ACTUAL,10631.0,1.30,227.84,0,10597,,178.94,539.92,,0.70,32.02099,-103.31554,11627305.61,2162336.10,-7627
30-025-47452-00,840300005442485,110,ACTUAL,10726.0,1.10,215.04,0,10692,,177.47,538.60,,0.35,32.02099,-103.31555,11627304.12,2162334.80,-7722
30-025-47452-00,840300005442485,111,ACTUAL,10821.0,1.20,227.54,0,10787,,176.05,537.34,,0.28,32.02098,-103.31555,11627302.69,2162333.57,-7817
