API_UWI,WellID,StationNumber,CoordinateSource,MeasuredDepth_FT,Inclination_DEG,Azimuth_DEG,Course_FT,TVD_FT,VerticalSection_FT,N_S,E_W,Closure_FT,DogLegSeverity_DEGPer100FT,Latitude,Longitude,GridY_FT,GridX_FT,SubseaElevation_FT
30-025-47452-00,840300005442485,161,ACTUAL,14692.0,90.20,179.14,0,12055,,-2642.51,504.93,,0.54,32.01323,-103.31565,11624483.00,2162345.10,-9085
30-025-47452-00,840300005442485,162,ACTUAL,14786.0,90.70,179.24,0,12054,,-2736.49,506.27,,0.54,32.01297,-103.31565,11624389.01,2162347.90,-9085
30-025-47452-00,840300005442485,163,ACTUAL,14880.0,92.30,180.64,0,12052,,-2830.46,506.37,,2.26,32.01272,-103.31565,11624295.03,2162349.46,-9082
30-025-47452-00,840300005442485,164,ACTUAL,14974.0,92.80,181.34,0,12048,,-2924.35,504.74,,0.91,32.01246,-103.31565,11624201.09,2162349.30,-9078
30-025-47452-00,840300005442485,165,ACTUAL,15069.0,87.60,181.84,0,12047,,-3019.28,502.11,,5.50,32.01220,-103.31566,11624106.10,2162348.15,-9078
30-025-47452-00,840300005442485,166,ACTUAL,15163.0,88.80,182.44,0,12051,,-3113.16,498.60,,1.43,32.01194,-103.31567,11624012.14,2162346.10,-9081
30-025-47452-00,840300005442485,167,ACTUAL,15257.0,88.70,181.44,0,12053,,-3207.09,495.42,,1.07,32.01168,-103.31568,11623918.14,2162344.39,-9083
30-025-47452-00,840300005442485,168,ACTUAL,15352.0,90.20,182.84,0,12054,,-3302.01,491.88,,2.16,32.01142,-103.31570,11623823.14,2162342.32,-9084
30-025-47452-00,840300005442485,169,ACTUAL,15446.0,89.70,179.94,0,12054,,-3395.97,489.60,,3.13,32.01116,-103.31570,11623729.12,2162341.50,-9084
30-025-47452-00,840300005442485,170,ACTUAL,15540.0,90.30,180.14,0,12054,,-3489.97,489.54,,0.67,32.01090,-103.31570,11623635.10,2162342.90,-9084
30-025-47452-00,840300005442485,171,ACTUAL,15634.0,89.90,179.64,0,12054,,-3583.97,489.72,,0.68,32.01064,-103.31570,11623541.08,2162344.55,-9084
30-025-47452-00,840300005442485,172,ACTUAL,15728.0,89.90,179.54,0,12054,,-3677.97,490.39,,0.11,32.01039,-103.31570,11623447.07,2162346.69,-9084
30-025-47452-00,840300005442485,173,ACTUAL,15822.0,90.10,179.44,0,12054,,-3771.97,491.23,,0.24,32.01013,-103.31570,11623353.07,2162348.99,-9084
30-025-47452-00,840300005442485,174,ACTUAL,15917.0,90.30,178.94,0,12053,,-3866.96,492.58,,0.57,32.00987,-103.31569,11623258.08,2162351.81,-9084
30-025-47452-00,840300005442485,175,ACTUAL,16011.0,90.60,178.44,0,12053,,-3960.93,494.73,,0.62,32.00961,-103.31569,11623164.12,2162355.43,-9083
30-025-47452-00,840300005442485,176,ACTUAL,16105.0,89.40,177.34,0,12053,,-4054.86,498.19,,1.73,32.00935,-103.31568,11623070.22,2162360.35,-9083
30-025-47452-00,840300005442485,177,ACTUAL,16200.0,89.20,177.14,0,12054,,-4149.74,502.77,,0.30,32.00909,-103.31566,11622975.39,2162366.41,-9084
30-025-47452-00,840300005442485,178,ACTUAL,16294.0,90.30,178.64,0,12054,,-4243.67,506.23,,1.98,32.00883,-103.31565,11622881.49,2162371.34,-9085
30-025-47452-00,840300005442485,179,ACTUAL,16388.0,90.30,178.64,0,12054,,-4337.65,508.46,,0,32.00857,-103.31564,11622787.53,2162375.03,-9084
30-025-47452-00,840300005442485,180,ACTUAL,16482.0,89.90,178.34,0,12054,,-4431.61,510.94,,0.53,32.00831,-103.31563,11622693.58,2162378.98,-9084
30-025-47452-00,840300005442485,181,ACTUAL,16576.0,89.80,178.74,0,12054,,-4525.58,513.34,,0.44,32.00805,-103.31563,11622599.63,2162382.84,-9084
30-025-47452-00,840300005442485,182,ACTUAL,16671.0,90.20,179.24,0,12054,,-4620.57,515.01,,0.67,32.00779,-103.31562,11622504.65,2162385.99,-9084
30-025-47452-00,840300005442485,183,ACTUAL,16765.0,90.20,178.84,0,12053,,-4714.55,516.59,,0.43,32.00754,-103.31562,11622410.66,2162389.03,-9084
30-025-47452-00,840300005442485,184,ACTUAL,16859.0,89.40,181.94,0,12054,,-4808.54,515.95,,3.41,32.00728,-103.31562,11622316.65,2162389.86,-9084
30-025-47452-00,840300005442485,185,ACTUAL,16954.0,89.60,182.14,0,12055,,-4903.47,512.57,,0.30,32.00702,-103.31563,11622221.64,2162387.96,-9085
30-025-47452-00,840300005442485,186,ACTUAL,17048.0,88.80,182.04,0,12056,,-4997.40,509.14,,0.86,32.00676,-103.31564,11622127.63,2162385.99,-9086
30-025-47452-00,840300005442485,187,ACTUAL,17142.0,88.40,182.64,0,12058,,-5091.29,505.31,,0.77,32.00650,-103.31565,11622033.66,2162383.62,-9089
30-025-47452-00,840300005442485,188,ACTUAL,17236.0,88.00,181.94,0,12061,,-5185.17,501.56,,0.86,32.00624,-103.31566,11621939.70,2162381.33,-9092
30-025-47452-00,840300005442485,189,ACTUAL,17330.0,90.80,180.34,0,12062,,-5279.14,499.69,,3.43,32.00598,-103.31567,11621845.69,2162380.92,-9093
30-025-47452-00,840300005442485,190,ACTUAL,17424.0,88.60,179.14,0,12063,,-5373.13,500.12,,2.67,32.00572,-103.31567,11621751.68,2162382.81,-9093
30-025-47452-00,840300005442485,191,ACTUAL,17518.0,91.40,180.54,0,12063,,-5467.11,500.38,,3.33,32.00547,-103.31567,11621657.68,2162384.54,-9093
30-025-47452-00,840300005442485,192,ACTUAL,17613.0,88.40,181.74,0,12063,,-5562.08,498.49,,3.40,32.00520,-103.31567,11621562.66,2162384.13,-9093
30-025-47452-00,840300005442485,193,ACTUAL,17707.0,85.90,182.14,0,12068,,-5655.91,495.32,,2.69,32.00495,-103.31568,11621468.76,2162382.42,-9098
30-025-47452-00,840300005442485,194,ACTUAL,17801.0,87.20,180.24,0,12073,,-5749.71,493.37,,2.45,32.00469,-103.31569,11621374.91,2162381.93,-9104
30-025-47452-00,840300005442485,195,ACTUAL,17896.0,90.50,177.24,0,12075,,-5844.64,495.46,,4.69,32.00443,-103.31568,11621279.98,2162385.50,-9106
30-025-47452-00,840300005442485,196,ACTUAL,17990.0,90.80,176.74,0,12074,,-5938.51,500.40,,0.62,32.00417,-103.31567,11621186.17,2162391.90,-9105
30-025-47452-00,840300005442485,197,ACTUAL,18084.0,90.70,176.94,0,12073,,-6032.36,505.58,,0.24,32.00391,-103.31565,11621092.39,2162398.55,-9103
30-025-47452-00,840300005442485,198,ACTUAL,18179.0,91.00,178.94,0,12072,,-6127.28,509.00,,2.13,32.00365,-103.31564,11620997.49,2162403.44,-9102
30-025-47452-00,840300005442485,199,ACTUAL,18273.0,91.50,178.74,0,12070,,-6221.24,510.90,,0.57,32.00339,-103.31563,11620903.55,2162406.81,-9100
30-025-47452-00,840300005442485,200,ACTUAL,18367.0,92.40,181.34,0,12066,,-6315.17,510.84,,2.93,32.00313,-103.31563,11620809.59,2162408.21,-9097
30-025-47452-00,840300005442485,201,ACTUAL,18461.0,89.30,181.34,0,12065,,-6409.13,508.64,,3.30,32.00288,-103.31564,11620715.58,2162407.48,-9095
30-025-47452-00,840300005442485,202,ACTUAL,18556.0,89.90,181.54,0,12066,,-6504.09,506.26,,0.67,32.00261,-103.31565,11620620.55,2162406.57,-9096
30-025-47452-00,840300005442485,203,ACTUAL,18650.0,88.90,180.94,0,12067,,-6598.06,504.22,,1.24,32.00236,-103.31566,11620526.53,2162406.00,-9097
30-025-47452-00,840300005442485,204,ACTUAL,18745.0,91.00,181.54,0,12067,,-6693.04,502.17,,2.30,32.00209,-103.31566,11620431.50,2162405.42,-9097
30-025-47452-00,840300005442485,205,ACTUAL,18836.4,89.76,180.84,0,12066,,-6784.41,500.27,,1.56,32.00184,-103.31567,11620340.08,2162404.95,-9096
30-025-47452-00,840300005442485,206,ACTUAL,18930.4,88.40,179.88,0,12068,,-6878.39,499.69,,1.77,32.00158,-103.31567,11620246.06,2162405.82,-9098
30-025-47452-00,840300005442485,207,ACTUAL,19025.4,90.81,180.49,0,12068,,-6973.38,499.38,,2.62,32.00132,-103.31567,11620151.05,2162407.00,-9099
30-025-47452-00,840300005442485,208,ACTUAL,19119.4,90.73,180.14,0,12067,,-7067.37,498.86,,0.38,32.00107,-103.31567,11620057.03,2162407.95,-9097
30-025-47452-00,840300005442485,209,ACTUAL,19213.4,90.99,179.70,0,12065,,-7161.36,499.00,,0.54,32.00081,-103.31567,11619963.02,2162409.54,-9096
30-025-47452-00,840300005442485,210,ACTUAL,19247.4,91.25,179.52,0,12065,,-7195.36,499.23,,0.93,32.00071,-103.31567,11619929.02,2162410.30,-9095
30-025-47452-00,840300005442485,211,ACTUAL,19292.4,91.25,179.52,0,12064,,-7240.34,499.61,,0,32.00059,-103.31567,11619884.03,2162411.38,-9094
